,Unnamed: 0,full_text,is_retweet,place_cord,place_name,result_type,retweet_count,screen_name,tweet_created,tweet_id,user_id,sentimental_score,sentiment_status,subjectivity,latitude,longitude
500,500,As a white male from the Midwest I really hope that Oprah runs and puts our braggadocious moron of a President in his race baiting arrogant place We have the most incompetent President this country has ever seen Be careful what you wish for doofus Don,0,"[-96.6396669, 40.375437]",Iowa,recent,0,Chiefanatic66,Mon Feb 19 10:26:08 +0000 2018,9.66e+17,349510625.0,-0.175,neg,0.444444444444,41.878,93.0977
501,501,You know the truth except the facts,0,"[-84.3219475, 33.752879]",North Carolina,recent,0,BornFre84805098,Mon Feb 19 10:25:48 +0000 2018,9.66e+17,9.64e+17,0.0,neu,0.0,35.7596,79.0193
502,502,You don t have to be a psychologist to know you re the most insecure petty tiny little man most of us have ever seen Putin knows it as does every other leader in the civilized world But you ll be gone soon MuellerIsComing TrumpCrimeFamily,0,"[-83.353955, 32.04683]",South Carolina,recent,0,beaglebailey99,Mon Feb 19 10:25:45 +0000 2018,9.66e+17,24145066.0,-0.071875,neg,0.69375,33.8361,81.1637
503,503,Trump bad for the GOP bad for America https t co LlEcWdXa0q,0,"[-106.645646, 25.837092]",Texas,recent,0,Scooch20,Mon Feb 19 10:25:41 +0000 2018,9.66e+17,339277892.0,-0.7,very neg,0.666666666667,31.9686,99.9018
507,507,Omg imagine,0,"[-83.353955, 32.04683]",South Carolina,recent,0,tinkerhell2,Mon Feb 19 10:24:32 +0000 2018,9.66e+17,273164207.0,0.0,neu,0.0,33.8361,81.1637
508,508,Well https t co ptJG85KvSO,0,"[-73.727776, 40.950918]",Connecticut,recent,0,SJCHARTER1,Mon Feb 19 10:24:27 +0000 2018,9.66e+17,8.26e+17,0.0,neu,0.0,41.6032,73.0877
511,511,What She didn t kiss your ass so she was automatically biased and wrong,0,"[-80.519851, 39.719801]",Pennsylvania,recent,0,laughandlive35,Mon Feb 19 10:24:13 +0000 2018,9.66e+17,118143235.0,-0.5,very neg,0.9,41.2033,77.1945
513,513,After reading your bizarre tweets over the weekend I don t think Oprah is the one who is insecure,0,"[-80.519851, 39.719801]",Pennsylvania,recent,1,jimmydz56,Mon Feb 19 10:24:03 +0000 2018,9.66e+17,118734730.0,-0.05,neg,0.7375,41.2033,77.1945
520,520,Bambi doesn t stand a chance against a gun the shoots 200 rounds a minute NRA and love it https t co UJTReDtKZ4,0,"[-85.605166, 30.355644]",Georgia,recent,0,bkohatl,Mon Feb 19 10:23:00 +0000 2018,9.66e+17,1537589275.0,0.5,very pos,0.6,32.1656,82.9001
521,521,Trump do your job and stop attacking American citizens Are you not the POTUS Stop your STFU campaign against everyone you don t agree with and do some good during your remaining time in office,0,"[-106.645646, 25.837092]",Texas,recent,0,Scooch20,Mon Feb 19 10:22:59 +0000 2018,9.66e+17,339277892.0,0.35,pos,0.3,31.9686,99.9018
523,523,1 Oligarch debt load or 2 Miss Universe Russian hooker sex tapes or 3 He just like Putin Hoping for 2,0,"[-90.4181075, 41.696088]",Michigan,recent,0,HumphrysR,Mon Feb 19 10:22:39 +0000 2018,9.66e+17,15853542.0,0.0,neu,0.0,44.3148,85.6024
526,526,Is this man child really coming after https t co YprgvXXQrP,0,"[-77.119401, 38.801826]",Washington,recent,0,ThurstonKristen,Mon Feb 19 10:22:16 +0000 2018,9.66e+17,3303816815.0,0.2,pos,0.2,38.9072,77.0369
527,527,Please tell me how the Russians helped DJT win,0,"[-106.645646, 25.837092]",Texas,recent,0,Lssmc,Mon Feb 19 10:22:11 +0000 2018,9.66e+17,28781200.0,0.8,very pos,0.4,31.9686,99.9018
532,532,Keep telling yourself it s all about money,0,"[-73.727776, 40.950918]",Connecticut,recent,0,jennine619,Mon Feb 19 10:21:22 +0000 2018,9.66e+17,55017152.0,0.0,neu,0.0,41.6032,73.0877
533,533,Must ve been a rough weekend with Melania,0,"[-90.4181075, 41.696088]",Michigan,recent,0,momul1,Mon Feb 19 10:21:13 +0000 2018,9.66e+17,26620297.0,-0.1,neg,0.4,44.3148,85.6024
540,540,1 Oligarch debt load or 2 Miss Universe Russian hooker sex tapes or 3 He just like Putin Hoping for 2,0,"[-90.4181075, 41.696088]",Michigan,recent,0,HumphrysR,Mon Feb 19 10:20:39 +0000 2018,9.66e+17,15853542.0,0.0,neu,0.0,44.3148,85.6024
541,541,Pennsylvania voters know your TaxSham was just a transfer of wealth to the rich They will be flipping blue in November BlueWave2018 https t co 0umotQNjLf,0,"[-73.727776, 40.950918]",Connecticut,recent,0,jennine619,Mon Feb 19 10:20:28 +0000 2018,9.66e+17,55017152.0,0.1875,pos,0.425,41.6032,73.0877
543,543,Watching TV again I never thought presidents had so much free time Must be nice,0,"[-83.353955, 32.04683]",South Carolina,recent,0,tinkerhell2,Mon Feb 19 10:19:46 +0000 2018,9.66e+17,273164207.0,0.5,very pos,0.9,33.8361,81.1637
544,544,I watched this interview I m not sure what the President is talking about It was a fair and balanced news story about pro and anti Trump supporters Looks like POTUS is the only person insecure https t co nyywMWnkp4,0,"[-88.097892, 37.771743]",Indiana,recent,0,DaveCrooks1,Mon Feb 19 10:19:44 +0000 2018,9.66e+17,286806376.0,0.233333333333,pos,0.887962962963,40.2672,86.1349
545,545,trolls abound today Keep up the good fight MAGA,0,"[-85.605166, 30.355644]",Georgia,recent,0,realShariStott,Mon Feb 19 10:19:44 +0000 2018,9.66e+17,8.24e+17,0.7,very pos,0.6,32.1656,82.9001
549,549,Saw it to here and your 100 correct and it was carefully orchestrated to suit their ideology Nothing more than another liberal media hack story tailored to their BS liking,0,"[-106.645646, 25.837092]",Texas,recent,0,UpYorsLiberal,Mon Feb 19 10:18:40 +0000 2018,9.66e+17,9.44e+17,-0.1,neg,1.0,31.9686,99.9018
552,552,I don t like his tweets either But I do like what s happening to our country Well some his tweets are ok,0,"[-106.645646, 25.837092]",Texas,recent,0,Lssmc,Mon Feb 19 10:18:19 +0000 2018,9.66e+17,28781200.0,0.5,very pos,0.5,31.9686,99.9018
553,553,Too little to late from Shifty https t co JFqrrnZxke,0,"[-85.605166, 30.355644]",Georgia,recent,0,realShariStott,Mon Feb 19 10:18:17 +0000 2018,9.66e+17,8.24e+17,-0.24375,neg,0.55,32.1656,82.9001
574,574,Here genius https t co CN44gPbJoE,0,"[-87.634643, 24.396308]",Florida,recent,0,Bluedane22,Mon Feb 19 10:14:04 +0000 2018,9.66e+17,1548180240.0,0.0,neu,0.0,27.6648,81.5158
577,577,Passed gay marriage Boy you are dumb States pass marriage rights and it was upheld by the Supreme Court It had nothing to do with Obama Meanwhile Democrats attempted gun control measures that Obama would have signed which could never get a vote in the Republican Congress,0,"[-85.605166, 30.355644]",Georgia,recent,0,fleurdelisanne,Mon Feb 19 10:13:51 +0000 2018,9.66e+17,91654658.0,0.0208333333333,pos,0.541666666667,32.1656,82.9001
583,583,Prove it,0,"[-106.645646, 25.837092]",Texas,recent,0,Lssmc,Mon Feb 19 10:12:57 +0000 2018,9.66e+17,28781200.0,0.0,neu,0.0,31.9686,99.9018
585,585,Great Rich https t co u8pes7G3db,0,"[-80.519851, 39.719801]",Pennsylvania,recent,0,Pete_Geller,Mon Feb 19 10:11:51 +0000 2018,9.66e+17,4190867541.0,0.5875,very pos,0.75,41.2033,77.1945
587,587,Me thinks someone in the White House is feeling exposed and defeated https t co jAmRNtnDr1,0,"[-80.519851, 39.719801]",Pennsylvania,recent,0,Pete_Geller,Mon Feb 19 10:10:50 +0000 2018,9.66e+17,4190867541.0,0.0,neu,0.0,41.2033,77.1945
589,589,How stupid you must be to ignore the Clinton corruption Might need to google that,0,"[-106.645646, 25.837092]",Texas,recent,0,Lssmc,Mon Feb 19 10:10:19 +0000 2018,9.66e+17,28781200.0,-0.8,very neg,1.0,31.9686,99.9018
590,590,Have enough GunControl Put retired Leo s amp vets to work on campuses around the USA Security solved w little training amp jobs created 2 https t co YFRIEDmqZ2,0,"[-85.605166, 30.355644]",Georgia,recent,1,realShariStott,Mon Feb 19 10:10:03 +0000 2018,9.66e+17,8.24e+17,-0.09375,neg,0.5,32.1656,82.9001
592,592,You re not fooling anyone but the Trumpanzees https t co abVjuyzPLz,0,"[-87.634643, 24.396308]",Florida,recent,0,Bluedane22,Mon Feb 19 10:09:23 +0000 2018,9.66e+17,1548180240.0,0.0,neu,0.0,27.6648,81.5158
595,595,It was Iran s money Negotiating its return was part of the nuclear deal It had to be cash because sanctions had cut off all banking channels to Iran It s all there in the documents you are always reading while you re not watching TV Maybe Ivanka can read it to you,0,"[-85.605166, 30.355644]",Georgia,recent,0,fleurdelisanne,Mon Feb 19 10:08:46 +0000 2018,9.66e+17,91654658.0,0.0,neu,0.0,32.1656,82.9001
596,596,What Where have you been for the previous 8 years,0,"[-95.774704, 35.995476]",Missouri,recent,0,vogl_tina,Mon Feb 19 10:08:02 +0000 2018,9.66e+17,4824408413.0,-0.166666666667,neg,0.166666666667,37.9643,91.8318
598,598,Planned Parenthood amp unions actually donated more towards candidates in 2016 than the NRA did over a 10 year period They re not that big of a lobbyist,0,"[-106.645646, 25.837092]",Texas,recent,0,asomer,Mon Feb 19 10:07:35 +0000 2018,9.66e+17,86887216.0,0.0,neu,0.1,31.9686,99.9018
600,600,Bless your poor heart,0,"[-87.634643, 24.396308]",Florida,recent,0,Mthibodeaux,Mon Feb 19 10:06:56 +0000 2018,9.66e+17,32483218.0,-0.4,neg,0.6,27.6648,81.5158
601,601,Worst President ever No heart Not about you,0,"[-84.3219475, 33.752879]",North Carolina,recent,0,jbfsu95,Mon Feb 19 10:06:51 +0000 2018,9.66e+17,162905274.0,-1.0,very neg,1.0,35.7596,79.0193
604,604,Just change the name to Oprah https t co 6Z88AOv8aM,0,"[-87.634643, 24.396308]",Florida,recent,0,Bluedane22,Mon Feb 19 10:06:11 +0000 2018,9.66e+17,1548180240.0,0.0,neu,0.0,27.6648,81.5158
609,609,Stop spreading fake news Comrade https t co M0T7J7cGv7,0,"[-87.634643, 24.396308]",Florida,recent,0,Bluedane22,Mon Feb 19 10:04:35 +0000 2018,9.66e+17,1548180240.0,-0.5,very neg,1.0,27.6648,81.5158
610,610,That s a damn lie,0,"[-85.605166, 30.355644]",Georgia,recent,0,fleurdelisanne,Mon Feb 19 10:04:02 +0000 2018,9.66e+17,91654658.0,0.0,neu,0.0,32.1656,82.9001
614,614,You are one unstable person Dumb Donald Draft Dodger Donald Dumpy Donald Delisional Donald So many choices It s hard to pick just one,0,"[-85.605166, 30.355644]",Georgia,recent,0,vickimcmorrough,Mon Feb 19 10:03:18 +0000 2018,9.66e+17,33540568.0,-0.0555555555556,neg,0.513888888889,32.1656,82.9001
616,616,Love him,0,"[-103.0026515, 33.615765]",Oklahoma,recent,0,FrankeDog,Mon Feb 19 10:02:19 +0000 2018,9.66e+17,335716119.0,0.5,very pos,0.6,35.0078,97.0929
618,618,You mean so you csn release your Russian trolls to falsely accuse her,0,"[-80.519851, 39.719801]",Pennsylvania,recent,0,DyanneWark,Mon Feb 19 10:02:11 +0000 2018,9.66e+17,208533146.0,-0.2375,neg,0.429166666667,41.2033,77.1945
620,620,allday Pretty sure nobody was counting on Russia helping tRump,0,"[-87.634643, 24.396308]",Florida,recent,0,Bluedane22,Mon Feb 19 10:01:56 +0000 2018,9.66e+17,1548180240.0,0.375,pos,0.944444444444,27.6648,81.5158
623,623,I call him Trumputin,0,"[-73.727776, 40.950918]",Connecticut,recent,0,MartinMrMom,Mon Feb 19 10:01:19 +0000 2018,9.66e+17,46144471.0,0.0,neu,0.0,41.6032,73.0877
624,624,Your kidding right Obama and Hillary could be the two biggest criminals in history of politics,0,"[-77.119401, 38.801826]",Washington,recent,0,ctnballs8299,Mon Feb 19 10:01:18 +0000 2018,9.66e+17,3844121199.0,0.285714285714,pos,0.535714285714,38.9072,77.0369
625,625,Like from Russians helping steal the election Is that what you mean,0,"[-90.310298, 34.982924]",Tennessee,recent,0,thejuliestein,Mon Feb 19 10:01:08 +0000 2018,9.66e+17,25547444.0,-0.3125,neg,0.6875,35.5175,86.5804
628,628,You re a sick joke Lying to the American people suggesting that the FBI isn t doing their job or are to blame for this tragedy because a tiny faction of the agency is working on a case on Russian meddling I m sure you and Donald are losing much sleep at night,0,"[-92.889433, 42.491921]",Wisconsin,recent,0,MrMattMelis,Mon Feb 19 10:00:39 +0000 2018,9.66e+17,2707120441.0,-0.00238095238095,neg,0.407671957672,43.7844,88.7879
629,629,The bill allowed ppl who were deemed incapable of managing their finances NOT to be labeled mentally unstable amp therefore able to keep their 2nd amendment rights That s literally all that repeal did,0,"[-106.645646, 25.837092]",Texas,recent,0,asomer,Mon Feb 19 10:00:09 +0000 2018,9.66e+17,86887216.0,0.133333333333,pos,0.275,31.9686,99.9018
630,630,Worth the 130k,0,"[-106.645646, 25.837092]",Texas,recent,0,perez4976,Mon Feb 19 09:59:48 +0000 2018,9.66e+17,393710461.0,0.3,pos,0.1,31.9686,99.9018
635,635,If someone dont sniper this mf https t co edHGh1gTsq,0,"[-124.482003, 32.528832]",California,recent,0,DaizeyCeeYo,Mon Feb 19 09:58:58 +0000 2018,9.66e+17,126427976.0,0.0,neu,0.0,36.7783,119.4179
642,642,oh he can and will and ur going to find its no wave but a ripple in comparison,0,"[-124.482003, 32.528832]",California,recent,0,jeff11069676,Mon Feb 19 09:57:58 +0000 2018,9.66e+17,9.45e+17,0.0,neu,0.0,36.7783,119.4179
645,645,Oprah Used to like Trump Then Abandoned him in favor of her Communist Masters Shame Oprah TheAwakening https t co MsvqUHc8lY,0,"[-84.8203089, 38.403186]",Ohio,recent,0,JohnDanielMill3,Mon Feb 19 09:57:39 +0000 2018,9.66e+17,8.18e+17,0.0,neu,0.0,40.4173,82.9071
652,652,WTF is wrong with you,0,"[-87.634643, 24.396308]",Florida,recent,0,MiamiSixthMan,Mon Feb 19 09:56:24 +0000 2018,9.66e+17,131198173.0,-0.5,very neg,0.95,27.6648,81.5158
653,653,Happy President s Day to the worst potus in America s history ImpeachTrumpNow RussianSanctions PutinsPuppet TeamTreason ComplicitGOP CorruptGOP CountryOverParty corruptPotus ComplicitPotus,0,"[-80.519851, 39.719801]",Pennsylvania,recent,0,Qwarktastic2,Mon Feb 19 09:56:16 +0000 2018,9.66e+17,7.75e+17,-0.1,neg,1.0,41.2033,77.1945
661,661,I hope she does not run We need people who are not biased and will not stir hate,0,"[-106.645646, 25.837092]",Texas,recent,0,CookieTim1982,Mon Feb 19 09:52:54 +0000 2018,9.66e+17,2748978843.0,-0.8,very neg,0.9,31.9686,99.9018
663,663,allday Getting 3 million more votes without Russian assistance while Dem votes were suppressed and voter registrations were hacked sounds like an overwhelming victory Sorry to use facts,0,"[-80.519851, 39.719801]",Pennsylvania,recent,0,Qwarktastic2,Mon Feb 19 09:52:31 +0000 2018,9.66e+17,7.75e+17,0.0,neu,0.666666666667,41.2033,77.1945
671,671,Whats the matter truth hurt Lol,0,"[-91.51308, 36.970298]",Illinois,recent,0,donslaughter2,Mon Feb 19 09:50:26 +0000 2018,9.66e+17,3549705076.0,0.8,very pos,0.7,40.6331,89.3985
672,672,Donald 17 High school children and teachers were shot because your party refuses to control guns and this is all you do You are whine tweeting and it s below the office you disgrace daily Please Resign and stop embarassing America Robert Mueller has you by the balls SHAME https t co WgPvCDhIyD,0,"[-80.519851, 39.719801]",Pennsylvania,recent,5,Qwarktastic2,Mon Feb 19 09:50:20 +0000 2018,9.66e+17,7.75e+17,0.08,pos,0.27,41.2033,77.1945
673,673,Hightower He has changed American politics forever No one will look at things like they did before Trump Who knows where this will take us We were in such a state of decline He really wanted to turn it around,0,"[-178.443593, 18.86546]",Hawaii,recent,0,nobadmonkeys,Mon Feb 19 09:50:18 +0000 2018,9.66e+17,4850827525.0,0.1,pos,0.1,19.8968,155.5828
678,678,https t co SGlirpvUrm they came outa the wood work to vote for this one,0,"[-97.239256, 43.499362]",Minnesota,recent,0,Handymanplus12,Mon Feb 19 09:49:27 +0000 2018,9.66e+17,8.31e+17,0.0,neu,0.0,46.7296,94.6859
689,689,Sanctuary cities states should be sent a bill for the cost of doing their job for them,0,"[-91.655009, 30.146096]",Mississippi,recent,0,JoeCarballo3,Mon Feb 19 09:47:10 +0000 2018,9.66e+17,8.35e+17,0.0,neu,0.0,32.3547,89.3985
693,693,He is not capable of comprehending this,0,"[-85.605166, 30.355644]",Georgia,recent,0,MoralsCount,Mon Feb 19 09:45:46 +0000 2018,9.66e+17,250482308.0,0.2,pos,0.4,32.1656,82.9001
696,696,PresidentsDay2018 is responsible for IMPLEMENTING amp ENFORCING the laws written by Congress RussiaSanctionsNow is chief citizen represent all of the ppl work for their interests amp provide MORAL LEADERSHIP Ok stop laughing so hard,0,"[-85.605166, 30.355644]",Georgia,recent,0,hustonmckinney,Mon Feb 19 09:44:57 +0000 2018,9.66e+17,330715293.0,0.102083333333,pos,0.460416666667,32.1656,82.9001
705,705,So the fact that our president is a mental case isn t important to you,0,"[-85.605166, 30.355644]",Georgia,recent,0,MoralsCount,Mon Feb 19 09:42:58 +0000 2018,9.66e+17,250482308.0,0.15,pos,0.6,32.1656,82.9001
707,707,sara I have no idea if she or he intends to run in 2020 but it would be nice to see a black woman wipe the floor with his smug face assuming he made it to 2020 which is highly unlikely,0,"[-124.848975, 45.543542]",Washington,recent,0,The_Anti_Fox,Mon Feb 19 09:42:08 +0000 2018,9.66e+17,17111550.0,-0.0222222222222,neg,0.644444444444,38.9072,77.0369
719,719,He s moved on from this already Actually he probably was never on it,0,"[-85.605166, 30.355644]",Georgia,recent,0,MoralsCount,Mon Feb 19 09:39:24 +0000 2018,9.66e+17,250482308.0,0.0,neu,0.1,32.1656,82.9001
723,723,For a man who never watches TV but just reads documents lots of documents you seem to know a lot of details about what has been on TV And if you use phrases like just like everyone else you sound middle school level paranoid https t co CUS9Q2hhmJ,0,"[-84.3219475, 33.752879]",North Carolina,recent,0,Brucekitto,Mon Feb 19 09:38:48 +0000 2018,9.66e+17,155939952.0,0.2,pos,0.2,35.7596,79.0193
740,740,Why does it sound like he used autocomplete to write this tweet https t co cKTb9J80kJ,0,"[-92.889433, 42.491921]",Wisconsin,recent,0,TundraKid,Mon Feb 19 09:36:46 +0000 2018,9.66e+17,119969062.0,0.4,pos,0.4,43.7844,88.7879
741,741,Maybe because those Dr s and nurses are doing a great job you jerks,0,"[-94.61771, 33.004106]",Arkansas,recent,0,edbarber101658,Mon Feb 19 09:36:26 +0000 2018,9.66e+17,2411443866.0,0.8,very pos,0.75,35.201,91.8318
746,746,Quit watching television and quit tweeting and try to be like the other 44 men who held the office and LEAD OUR COUNTRY,0,"[-79.76259, 40.477383]",New York,recent,0,coachjakes12tvc,Mon Feb 19 09:35:37 +0000 2018,9.66e+17,198265487.0,0.0,neu,0.0,40.7128,74.006
748,748,That comes second to everything with him,0,"[-85.605166, 30.355644]",Georgia,recent,0,MoralsCount,Mon Feb 19 09:35:34 +0000 2018,9.66e+17,250482308.0,0.0,neu,0.0,32.1656,82.9001
749,749,PLEASE PLEASE PLEASE do an interview with Oprah and let her know to her face which facts she got wrong I m sure you d be very stoic and never implicate yourself any further as a result of the malignant narcissism you suffer from SMH,0,"[-73.727776, 40.950918]",Connecticut,recent,2,jennine619,Mon Feb 19 09:35:31 +0000 2018,9.66e+17,55017152.0,0.0,neu,0.894444444444,41.6032,73.0877
757,757,ayou Fucking Moron Go to Hell https t co XfAJsYutlc,0,"[-80.519851, 39.719801]",Pennsylvania,recent,0,coopers_mom2,Mon Feb 19 09:34:45 +0000 2018,9.66e+17,28785273.0,-0.8,very neg,1.0,41.2033,77.1945
762,762,It doesn t take anyone with a brain to figure out that Oprah Winfrey made her business off of gimmicks and that s what she s doing right now because Oprah knows that Democrats are just in love with the idea of a African American woman running against Trump,0,"[-106.645646, 25.837092]",Texas,recent,0,DavidRacerx3300,Mon Feb 19 09:33:05 +0000 2018,9.66e+17,597344558.0,0.196428571429,pos,0.283928571429,31.9686,99.9018
768,768,Stop lying Donald You reversed President Obama s law that had made it impossible for this boy buy this guns,0,"[-90.310298, 34.982924]",Tennessee,recent,0,JessWBJ1,Mon Feb 19 09:32:26 +0000 2018,9.66e+17,480929595.0,-0.666666666667,very neg,1.0,35.5175,86.5804
775,775,Jeffrey Epstein and Donald trump sitting in a tree K i s s i n g First comes love then comes marriage then comes Vladimir Putin with Stormy Daniels with a baby carriage locktrumpup,0,"[-91.51308, 36.970298]",Illinois,recent,0,BillSession1,Mon Feb 19 09:31:05 +0000 2018,9.66e+17,8.38e+17,0.375,pos,0.466666666667,40.6331,89.3985
776,776,It s always a distraction from a bigger issue or concern when he pulls these ridiculous rants out of his orange azz,0,"[-85.605166, 30.355644]",Georgia,recent,0,cynmoore46,Mon Feb 19 09:30:57 +0000 2018,9.66e+17,2892997516.0,-0.166666666667,neg,0.75,32.1656,82.9001
782,782,I agree And I asked for it to be removed It s insensitive sadistic and racist,0,"[-109.060257, 36.992427]",Colorado,recent,0,Barbarita101950,Mon Feb 19 09:29:53 +0000 2018,9.66e+17,3962589792.0,0.0,neu,0.0,39.5501,105.7821
791,791,I would like to see Chris Rocks comments about him wanting to see white kids being shot every month Taken off twitter It is offensive racist and sadistic especially after the Florida mass shooting There is nothing Funny about it It s not a joke,0,"[-109.060257, 36.992427]",Colorado,recent,0,Barbarita101950,Mon Feb 19 09:27:25 +0000 2018,9.66e+17,3962589792.0,0.0833333333333,pos,0.666666666667,39.5501,105.7821
794,794,Stop going around the bush Sir u need to face the fact that one of the reason mentally ill boy got the assault rifle is because U Donald Trump reversed the law that do not allow mentally ill people to own this guns law that President Obama put in place,0,"[-90.310298, 34.982924]",Tennessee,recent,0,JessWBJ1,Mon Feb 19 09:27:06 +0000 2018,9.66e+17,480929595.0,-0.5,very neg,1.0,35.5175,86.5804
796,796,Yeah dumbass yeah you 65 of the country thinks your a pos You look horrible in your golf clothes,0,"[-91.51308, 36.970298]",Illinois,recent,0,BillSession1,Mon Feb 19 09:26:38 +0000 2018,9.66e+17,8.38e+17,-1.0,very neg,1.0,40.6331,89.3985
799,799,We Americans are to be pitied We have a man child president who hates to read and has a limited ability to absorb information,0,"[-85.605166, 30.355644]",Georgia,recent,0,DillettRaquel,Mon Feb 19 09:25:18 +0000 2018,9.66e+17,9.39e+17,-0.0714285714286,neg,0.142857142857,32.1656,82.9001
804,804,you used to be cool in the 90s but now your a giant dork Your staff members are losers You should fire them all Especially Munichn Pruitt and Kushner Those guys are giant losers DJT your so dumb All you had to do was legalize marijuana You could of been great,0,"[-91.51308, 36.970298]",Illinois,recent,0,BillSession1,Mon Feb 19 09:23:29 +0000 2018,9.66e+17,8.38e+17,0.046875,pos,0.6625,40.6331,89.3985
815,815,Chris Rock You are pathetic sadistic and a racist Anyone Black or White That would laugh at your so called joke I would like to see an equal amt of white kids get shot every month and like to see their white mom s cry on TV Is just as sadistic as he is,0,"[-109.060257, 36.992427]",Colorado,recent,0,Barbarita101950,Mon Feb 19 09:20:15 +0000 2018,9.66e+17,3962589792.0,-0.12380952381,neg,0.254761904762,39.5501,105.7821
819,819,Generation of registered voters a lot of them will be able to vote in 2020 And right now a lot of them are scared for their future No one shouldn t fear being hunted in their own schools There needs to be a change made Nothing s changed in decades except more violence,0,"[-106.645646, 25.837092]",Texas,recent,0,amandaennen91,Mon Feb 19 09:19:09 +0000 2018,9.66e+17,2996596003.0,0.261904761905,pos,0.428571428571,31.9686,99.9018
824,824,Dementia would be kind and absolve trump for responsibility for his serpent tongue He isn t demented just immature and mean Can you even imagine having him for a father Who was the grown up He pulled out his 1st wife s hair because he was in pain after hair reduction,0,"[-75.7887564, 38.4510398]",Delaware,recent,0,patrice_noonan,Mon Feb 19 09:18:08 +0000 2018,9.66e+17,8.55e+17,0.14375,pos,0.79375,38.9108,75.5277
