,Unnamed: 0,full_text,is_retweet,place_cord,place_name,result_type,retweet_count,screen_name,tweet_created,tweet_id,user_id,sentimental_score,sentiment_status,subjectivity,latitude,longitude
19,19,Take your own advice amp STFU jacka thru 2024 MAGA amp again amp again,0,"[117.998322, 27.14303]",Zhejiang,recent,0,1st04Bravo,Sat Feb 17 00:31:48 +0000 2018,9.65e+17,2563797115.0,0.0,neu,0.0,29.0000001,119.9999999
20,20,FU ahole Heartless brainless liberal dumbfk FU amp all reptilian scum like you Party amp drink yourselves to death Favor to the world,0,"[117.998322, 27.14303]",Zhejiang,recent,0,1st04Bravo,Sat Feb 17 00:29:30 +0000 2018,9.65e+17,2563797115.0,-0.3,neg,0.4,29.0000001,119.9999999
21,21,POTUS We re 10000 PERCENT behind you Mr President MAGA FU,0,"[117.998322, 27.14303]",Zhejiang,recent,0,1st04Bravo,Sat Feb 17 00:26:44 +0000 2018,9.65e+17,2563797115.0,-0.4,neg,0.7,29.0000001,119.9999999
22,22,ichi12 STFU What do you think you know about immigrants Were you one When Where How What did you do to earn US citizenship I am I did it all LEGALLY,0,"[117.998322, 27.14303]",Zhejiang,recent,0,1st04Bravo,Sat Feb 17 00:23:20 +0000 2018,9.65e+17,2563797115.0,0.2,pos,0.2,29.0000001,119.9999999
23,23,ichi12 Gloves are off b tch No more nice guy crap You libs are over the top batsh t crazy FU all,0,"[117.998322, 27.14303]",Zhejiang,recent,0,1st04Bravo,Sat Feb 17 00:20:56 +0000 2018,9.65e+17,2563797115.0,-0.075,neg,0.8,29.0000001,119.9999999
24,24,WHY don t you think this is serious https t co p8qBkpFkbx,0,"[109.664659, 20.221264]",Guangdong,recent,0,SwitzerNYC,Fri Feb 16 22:28:28 +0000 2018,9.65e+17,27865947.0,-0.333333333333,neg,0.666666666667,23.1357694,113.1982688
25,25,How many times I see these kinda tragic happen n happen again Not even asking to ban it Just give it a stronger conducting amp reformation to at least make those ppl who s obviously sociopath not having it GunReformNow,0,"[73.499413, 18.054479]",People's Republic of China,recent,0,kim2_vivien,Fri Feb 16 01:32:18 +0000 2018,9.64e+17,523121361.0,-0.1375,neg,0.5375,35.000074,104.999927
26,26,How many times I see these kinda tragic happen n happen again Not even asking to ban it Just give it a stronger conducting amp reformation to at least make those ppl who s obviously sociopath not having it GunReformNow,0,"[73.499413, 18.054479]",People's Republic of China,recent,0,kim2_vivien,Fri Feb 16 01:29:02 +0000 2018,9.64e+17,523121361.0,-0.1375,neg,0.5375,35.000074,104.999927
27,27,It s not an easy job https t co o97nUxnmFB,0,"[120.858322, 30.69094]",Shanghai,recent,0,zhouxin89,Thu Feb 15 17:52:33 +0000 2018,9.64e+17,759125000.0,0.433333333333,pos,0.833333333333,39.4414872,-78.1322246
28,28,Too late the shooting already occurred,0,"[120.858322, 30.69094]",Shanghai,recent,0,BobWeis,Thu Feb 15 12:50:09 +0000 2018,9.64e+17,17558172.0,-0.3,neg,0.6,39.4414872,-78.1322246
29,29,sir you should reconsider license requirement for guns People are having easy access to guns which is creating serious security threat to common people Heartiest condolence to victims of FloridaShooting May the departed soul rest in peace,0,"[72.5294654, 32.2755403]",Jammu And Kashmir,recent,0,hrishikesh99908,Thu Feb 15 12:15:09 +0000 2018,9.64e+17,2955950888.0,-0.0666666666667,neg,0.666666666667,34.0476564,76.7972892
30,30,American moron alert,0,"[115.421372, 39.43277]",Beijing,recent,0,peterkalksma,Thu Feb 15 04:28:59 +0000 2018,9.64e+17,15045607.0,-0.4,neg,0.5,39.9059631,116.391248
31,31,happy Chinese New Year,0,"[114.834152, 34.391106]",Shandong,recent,0,shandonngr,Thu Feb 15 01:07:18 +0000 2018,9.64e+17,3029913970.0,0.312121212121,pos,0.484848484848,36.0000001,118.9999999
32,32,HAPPY CHINESE NEW YEAR lafr potter Y Lee https t co RkDvjVIimX,0,"[116.377296, 30.761387]",Jiangsu,recent,0,wang_pengc,Wed Feb 14 15:22:14 +0000 2018,9.64e+17,4881354547.0,0.312121212121,pos,0.484848484848,33.0000001,119.9999999
33,33,Father of two here History will shit on you and the rest of this garbage administration from a great height,0,"[114.834152, 34.391106]",Shandong,recent,0,drnorth,Wed Feb 14 05:33:44 +0000 2018,9.64e+17,16875029.0,0.3,pos,0.775,36.0000001,118.9999999
34,34,2024 You people just make this hit up as you go along It s a tragic comedy Being a liberal must be like mestruating 24 7 365,0,"[117.998322, 27.14303]",Zhejiang,recent,1,1st04Bravo,Wed Feb 14 02:38:22 +0000 2018,9.64e+17,2563797115.0,-0.75,very neg,0.75,29.0000001,119.9999999
35,35,2024 You re delusional Pay attention to who No thanks It s enough you libs listen to those clowns,0,"[117.998322, 27.14303]",Zhejiang,recent,0,1st04Bravo,Wed Feb 14 02:35:18 +0000 2018,9.64e+17,2563797115.0,0.1,pos,0.35,29.0000001,119.9999999
36,36,This is absolutely correct https t co vvB6FPJtFV,0,"[117.998322, 27.14303]",Zhejiang,recent,0,1st04Bravo,Wed Feb 14 02:28:45 +0000 2018,9.64e+17,2563797115.0,0.2,pos,0.9,29.0000001,119.9999999
37,37,It s like this https t co SQE9inlRAx,0,"[109.664659, 20.221264]",Guangdong,recent,0,nashathasan,Tue Feb 13 11:03:07 +0000 2018,9.63e+17,1217002710.0,0.0,neu,0.0,23.1357694,113.1982688
38,38,Nice doublechin,0,"[118.846649, 38.72135]",Liaoning,recent,0,sweinie81,Tue Feb 13 05:38:08 +0000 2018,9.63e+17,7.48e+17,0.6,very pos,1.0,40.9975197,122.9955469
39,39,Look who s talking about spreading fake information,0,"[117.998322, 27.14303]",Zhejiang,recent,0,1st04Bravo,Mon Feb 12 23:52:35 +0000 2018,9.63e+17,2563797115.0,-0.5,very neg,1.0,29.0000001,119.9999999
40,40,inc1 Still stuck on Russia collusion even though there had been no evidence WakeUpAmerica,0,"[117.998322, 27.14303]",Zhejiang,recent,0,1st04Bravo,Mon Feb 12 23:49:41 +0000 2018,9.63e+17,2563797115.0,0.0,neu,0.0,29.0000001,119.9999999
41,41,but you know that the Middle East comprises 17 nations including Israel which has always been generously helped economically by the USA Should I deduce that in the future Israel will see less economic aid coming from your government,0,"[120.858322, 30.69094]",Shanghai,recent,0,LuisB,Mon Feb 12 18:05:30 +0000 2018,9.63e+17,6477792.0,0.0666666666667,pos,0.258333333333,39.4414872,-78.1322246
42,42,America will be one part of China one day,0,"[116.377296, 30.761387]",Jiangsu,recent,0,VonDerFriedrich,Mon Feb 12 14:00:25 +0000 2018,9.63e+17,9.6e+17,0.0,neu,0.0,33.0000001,119.9999999
43,43,It s true I think this is real America Make America Great Again,0,"[120.858322, 30.69094]",Shanghai,recent,1,s5god,Mon Feb 12 08:45:07 +0000 2018,9.63e+17,8.16e+17,0.45,pos,0.566666666667,39.4414872,-78.1322246
44,44,We work hard but not for you COMAP SmartChinesestudents Alright we pay for you and give wonderful ideas for you But do you know that it s just a step for us We want to learn more so we may need these prizes Don t be silly https t co K3HvxnMKtg,0,"[73.499413, 18.054479]",People's Republic of China,recent,0,CrystalNatsume,Sun Feb 11 07:15:31 +0000 2018,9.63e+17,9.63e+17,0.0694444444444,pos,0.805555555556,35.000074,104.999927
45,45,Protect from what A fraction of one percent of crimes in America are committed by immigrants Know the stats before making a knee jerk reactionary policy that does no good,0,"[116.377296, 30.761387]",Jiangsu,recent,0,xjtluMARK,Sun Feb 11 01:44:58 +0000 2018,9.63e+17,9.27e+17,0.7,very pos,0.6,33.0000001,119.9999999
46,46,OH MY GOD doesn t understand what the three branches of government are Doesn t he realize Congress makes up the Senate and House together How can we have such a leader that doesn t understand the basic three branches of government https t co bmPRngqXPt,0,"[120.858322, 30.69094]",Shanghai,recent,0,JasonMcAllister,Sun Feb 11 00:53:06 +0000 2018,9.62e+17,38332646.0,0.0,neu,0.125,39.4414872,-78.1322246
47,47,Obama destroyed the US democracy,0,"[115.834717, 23.532013]",Fujian,recent,0,MaxYu9,Sat Feb 10 22:22:30 +0000 2018,9.62e+17,8.86e+17,0.0,neu,0.0,26.5450001,117.842778
48,48,There is a movie to support you https t co 7Fowwx6ezl,0,"[115.421372, 39.43277]",Beijing,recent,0,SamLai009,Fri Feb 09 17:26:06 +0000 2018,9.62e+17,9.62e+17,0.0,neu,0.0,39.0000001,116.0
49,49,This one has better resolution https t co hEIyV5dlES,0,"[115.421372, 39.43277]",Beijing,recent,0,SamLai009,Fri Feb 09 17:11:06 +0000 2018,9.62e+17,9.62e+17,0.5,very pos,0.5,12.8935356,80.2320634
50,50,do you know icm is very difficult,0,"[113.436371, 36.049713]",Hebei,recent,0,xingxnghan,Fri Feb 09 15:48:59 +0000 2018,9.62e+17,7.16e+17,-0.5,very neg,1.0,12.9791198,77.5912997
51,51,If he had just put the money his dad gave him in the stock market he would have many many times the wealth he has now Which means that he has been an utter failure as a businessman,0,"[80.056161, 12.850328]",Sholinganallur,recent,0,rapid_rar,Mon Feb 19 09:13:01 +0000 2018,9.66e+17,1411536198.0,0.170833333333,pos,0.575,26.4851573,89.5246926
52,52,you were ranting all the way that Indians are taking away IT jobs now you Americans have taken our job What do you want to say about this https t co XtFRkYKZaE,0,"[77.3305776, 12.731936]",Bengaluru South,recent,0,arunrao64str,Mon Feb 19 08:51:37 +0000 2018,9.66e+17,4162378819.0,0.0,neu,0.0,25.3356491,83.0076292
53,53,I think he knows that he is not going to get re elected hence making the most of it Vacation on tax payers money,0,"[89.051252, 26.395366]",Alipurduar,recent,0,rupshiga,Mon Feb 19 08:23:28 +0000 2018,9.66e+17,7.29e+17,0.0,neu,0.0,19.1334321,72.8882172
54,54,What a performance Little Sapna Chowdhary NiravModi PNBScam SapnaChoudhary SalmanKhan hindu dvn https t co qJ4lpiwFgp,0,"[82.671054, 25.166781]",Varanasi,recent,0,PRITAMRAJ200,Mon Feb 19 08:20:35 +0000 2018,9.66e+17,547377879.0,-0.1875,neg,0.5,19.1334321,72.8882172
55,55,They have seen that day once in their life Kashmiri people see that every day Who is braver,0,"[72.74484, 18.845343]",Mumbai,recent,0,manojnambyar,Mon Feb 19 08:16:21 +0000 2018,9.66e+17,138102993.0,0.0,neu,0.0,28.6141793,77.2022662
56,56,No wonder Pot is legal over there https t co KbMEizRT9X,0,"[72.74484, 18.845343]",Mumbai,recent,0,anamikadiaries,Mon Feb 19 07:34:11 +0000 2018,9.65e+17,320163760.0,0.2,pos,0.2,10.9604108,79.3820861
57,57,He is d President of d US n They Elected by Showing Faith than Dear Opposition Please Let Him Work peacefully because He is doing good n Earning Good Name Now Personalities in all around d World has started liking His Abilities n His Roles to bring Spring in d People s Hearts,0,"[76.84252, 28.397657]",New Delhi,recent,0,bhalla1953,Mon Feb 19 07:04:50 +0000 2018,9.65e+17,605493438.0,0.7,very pos,0.6,28.6141793,77.2022662
58,58,Maldives MaldivesInCrisis mal India and WorldCommunity entering the situation is coming Democracy will be Murdered for SaveMaldives people s and SaveDemocracy https t co wvy3C5odRC,0,"[79.2793258, 10.8719873]",Kumbakonam,recent,0,rajasekarkurich,Mon Feb 19 06:49:53 +0000 2018,9.65e+17,3170509884.0,0.0,neu,0.0,26.916194,75.820349
59,59,Make wide publicity together with like minded National heads to forget bad habits to bring good heredity good divinity good love to give birth to good generation to make earth as heaven not to fight each other for welfare of people to kill sinners then and there on spots for good,0,"[79.199056, 17.617994]",Warangal-Hamamkonda,recent,0,mouli_bojja,Mon Feb 19 06:49:45 +0000 2018,9.65e+17,9.5e+17,0.4,pos,0.583333333333,28.6141793,77.2022662
60,60,You will have to win the fight against such fucking Bastards spoiling the Atmospheres of the Positivity Why cant We join hands together to save the race of Honesty,0,"[76.84252, 28.397657]",New Delhi,recent,0,bhalla1953,Mon Feb 19 06:49:01 +0000 2018,9.65e+17,605493438.0,0.1,pos,0.6,13.3419169,74.7473232
61,61,sharma May be he was just keen to visit Taj Mahal,0,"[80.183081, 12.965942]",Chennai,recent,0,c_chithra,Mon Feb 19 05:55:22 +0000 2018,9.65e+17,377278420.0,0.0,neu,0.0,28.6141793,77.2022662
62,62,Trump has a fetish for watching TV https t co VHjJ7wxCA9,0,"[75.4979969, 26.800561]",Jaipur,recent,0,RURALINDIA,Mon Feb 19 05:38:44 +0000 2018,9.65e+17,77456101.0,0.0,neu,0.0,31.6343083,74.8736788
63,63,Rohingya in India need your attention your support your help help Turkey khan https t co rkPgiY6nnT,0,"[76.84252, 28.397657]",New Delhi,recent,0,MaungAKhan,Mon Feb 19 05:35:58 +0000 2018,9.65e+17,3059285929.0,0.0,neu,0.0,22.3511148,78.6677428
64,64,He is right about this one,0,"[74.667323, 13.086056]",Udupi,recent,0,keni_raghuvir,Mon Feb 19 04:57:48 +0000 2018,9.65e+17,3009170209.0,0.285714285714,pos,0.535714285714,22.3511148,78.6677428
65,65,He had the audacity to refuse a meeting with one of Indian state Chief Ministers because few of supporters and ministers want to secede that state from India Imagine the anger among us,0,"[76.84252, 28.397657]",New Delhi,recent,2,AbhiFour,Mon Feb 19 04:42:41 +0000 2018,9.65e+17,80385471.0,-0.7,very neg,0.2,22.3511148,78.6677428
66,66,Such special dick day was when this man was made Truly amazing to see what keeps the President of America busy https t co WXXlFTRLYE,0,"[74.696711, 31.483059]",Amritsar,recent,0,kubrasait,Mon Feb 19 04:41:30 +0000 2018,9.65e+17,65305565.0,0.352380952381,pos,0.590476190476,28.6711527,77.4120356
67,67,Panoramic images capture a single day in the life of these birds https t co NEH7cAeggZ,0,"[67.997691, 6.622513]",India,recent,0,Sachinbambhani4,Mon Feb 19 04:35:42 +0000 2018,9.65e+17,8.42e+17,-0.0714285714286,neg,0.214285714286,28.6141793,77.2022662
68,68,Despite becoming known as the Spanish flu the first recorded cases were in the U S in the final year of World War I https t co j4TZsxctIK,0,"[67.997691, 6.622513]",India,recent,0,Sachinbambhani4,Mon Feb 19 04:34:06 +0000 2018,9.65e+17,8.42e+17,0.175,pos,0.545833333333,19.1334321,72.8882172
69,69,Sir Bogus rape case on Asaram Bapu Ji deriving his million of followers from his satsang Why followers suffer due to LoopholesInLegalSystem https t co 6CiZAnLBsx,0,"[67.997691, 6.622513]",India,recent,0,Sachinbambhani4,Mon Feb 19 04:32:07 +0000 2018,9.65e+17,8.42e+17,-0.125,neg,0.375,19.1334321,72.8882172
70,70,u r opposing her just because she is black JustAsking,0,"[80.2348852, 12.970918]",Mylapore Tiruvallike,recent,0,imprasath,Mon Feb 19 04:31:38 +0000 2018,9.65e+17,1252059804.0,-0.166666666667,neg,0.433333333333,19.1334321,72.8882172
71,71,Bad habits sinners any where on the earth must be killed All have destroyed their good heredity good divinity good love good thinking power that they are acting like nobles Intellectuals know truth of every country Tell truth all people on earth,0,"[79.199056, 17.617994]",Warangal-Hamamkonda,recent,0,mouli_bojja,Mon Feb 19 04:06:29 +0000 2018,9.65e+17,9.5e+17,0.3,pos,0.458333333333,12.9791198,77.5912997
72,72,Sinners on earth foregone their good heredity good divinity goodcharacteristics good thinking power with bad habits They were telling bad news since beginning Sinners must be killed with good news to make America American s as heaven Committee needed to educate people restlessly,0,"[79.199056, 17.617994]",Warangal-Hamamkonda,recent,0,mouli_bojja,Mon Feb 19 03:36:33 +0000 2018,9.65e+17,9.5e+17,0.15,pos,0.466666666667,19.1334321,72.8882172
73,73,Right He s much deadlier yet is saying the right thing PS Also applicable to the entire humanity https t co 0oQAYvQn8t,0,"[77.20469, 28.620877]",Ghaziabad,recent,0,AJ2eets,Mon Feb 19 02:54:02 +0000 2018,9.65e+17,52647711.0,0.192857142857,pos,0.474107142857,19.1334321,72.8882172
74,74,America stands with you all the way including us Hindus both in India amp in the US Trump,0,"[76.84252, 28.397657]",New Delhi,recent,0,manukrsharma,Mon Feb 19 02:35:39 +0000 2018,9.65e+17,308335274.0,0.0,neu,0.0,19.1334321,72.8882172
75,75,This tweet by proves equality between him amp amp passing the blame for political gains https t co Ws9JqPHMgq,0,"[77.3305776, 12.731936]",Bengaluru South,recent,0,SumitKothiyal,Mon Feb 19 02:32:15 +0000 2018,9.65e+17,485812614.0,0.15,pos,0.05,13.07230965,80.2513380999
76,76,then no idea come back 00 00am or late at least not before possibly I WISH SO MANY MANY CHILLING ENJOYING FIGHTING HARD AND POWERFUL POWERFUL POWERFUL PRESTIGIOUS RETURNS OF FEBRUARY18TH IN LIFE OF DONALD JOHN3 OR GRAND SON DONALD JOHN3 OF USA HON PRESIDENT SIR,0,"[72.74484, 18.845343]",Mumbai,recent,0,ShravanSaxena,Sun Feb 18 23:54:40 +0000 2018,9.65e+17,317700598.0,0.116025641026,pos,0.695512820513,22.3511148,78.6677428
77,77,then too i can talk about at least DIPLOMACY OR ONLY AND THAT IN WHICH MANNER AND THAT TOO WITH THE HON PRESIDENT SHRI SIR OF UNITED STATES OF AMERICA then yes my sharing is this only that,0,"[72.74484, 18.845343]",Mumbai,recent,0,ShravanSaxena,Sun Feb 18 22:22:58 +0000 2018,9.65e+17,317700598.0,-0.3,neg,0.4,22.3511148,78.6677428
78,78,THEN NOT SO AND SO SIMPLE RESPONSE FROM AMERICA TOO THEN AND THEN TOO RES G NO IDEA HOW HE OR KIM JONG UNN could take such behave in case daughter of usa president trump sir going or daughter g of usa president sir going then at least I,0,"[72.74484, 18.845343]",Mumbai,recent,0,ShravanSaxena,Sun Feb 18 22:12:27 +0000 2018,9.65e+17,317700598.0,-0.15,neg,0.378571428571,19.1334321,72.8882172
79,79,ur a piece of shit https t co qKPyYa4JDN,0,"[77.3305776, 12.731936]",Bengaluru South,recent,0,NachtIstLeben,Sun Feb 18 21:53:17 +0000 2018,9.65e+17,36883473.0,-0.2,neg,0.8,19.2334875,73.1182464
80,80,I WISH EXTREMELY EXTREMELY HAPPY POWERFUL PRESTIGIOUS BIRTH DAY OF YOUR SUPER NEPHEW DONALD JOHN3 OR GRAND SON OF USA HON PRESIDENT SHRI SIR TO YOU SUPER DUPER G YOUR HUSBAND KUSHNER G ALL KIDS FAMILY HERE 2 59AM GOOD NIGHT,0,"[72.74484, 18.845343]",Mumbai,recent,0,ShravanSaxena,Sun Feb 18 21:29:55 +0000 2018,9.65e+17,317700598.0,0.494444444444,pos,0.822222222222,13.07230965,80.2513380999
81,81,175 ADMITTED DUE TO FOOD POISONING AT PALGHAR MARRIAGE PARTY https t co fqvwbj0ujz via Police,0,"[72.74484, 18.845343]",Mumbai,recent,1,HanifPatel16,Sun Feb 18 21:22:42 +0000 2018,9.65e+17,2895984673.0,-0.125,neg,0.375,13.07230965,80.2513380999
82,82,IN LAST MANY MONTHS I RARELY COME HERE AT HON PAGE OF USA PRESIDENT G AS AT HON CAN TRY TO COME ON SUNDAYS at least to hon PRESIDENT SIR OF USA HAPPY POWERFUL PRESTIGIOUS BIRTH DAY OF YOUR GRAND SON DONALD JOHN3 good night,0,"[72.74484, 18.845343]",Mumbai,recent,0,ShravanSaxena,Sun Feb 18 21:19:50 +0000 2018,9.65e+17,317700598.0,0.35,pos,0.683333333333,28.6711527,77.4120356
83,83,Either you have no idea how to read a poll or you re lying Via President Trump on Sunday touted recent Republican gains in a generic congressional ballot though he appeared to cite a poll that showed the GOP trailing Democrats by 3 points https t co A4EnXiGcta,0,"[80.1851996, 13.0417174]",Egmore Nungambakkam,recent,0,exinkygal,Sun Feb 18 20:03:31 +0000 2018,9.65e+17,15826270.0,0.0,neu,0.125,15.8572666,74.5069343
84,84,Sir Why no provisions in Constitution for fast trail amp immediate bail to innocents in bogus cases Why culprits given chance to misuse LoopholesInLegalSystem https t co 0ssqy9wiq4,0,"[67.997691, 6.622513]",India,recent,0,Sachinbambhani4,Sun Feb 18 19:47:21 +0000 2018,9.65e+17,8.42e+17,0.2,pos,0.6,23.0216238,72.5797068
85,85,Sir Due to misuse of LoopholesInLegalSystem Sant Asaram Bapu Ji bearing torture of judicial custody at 81 years old age It is not humanity BogusCasesOnRise https t co 1UihxuQSS2,0,"[67.997691, 6.622513]",India,recent,1,Sachinbambhani4,Sun Feb 18 19:34:02 +0000 2018,9.65e+17,8.42e+17,-0.0125,neg,0.2875,25.3356491,83.0076292
86,86,No words https t co B0jhBMkGF2,0,"[72.74484, 18.845343]",Mumbai,recent,0,vaiitoh,Sun Feb 18 19:22:59 +0000 2018,9.65e+17,4187419512.0,0.0,neu,0.0,23.5350475,87.3380425
87,87,Yeah Mexico is paying for the wall i heard,0,"[73.063131, 19.139733]",Kalyan Dombivali,recent,0,VedantMhatre1,Sun Feb 18 18:11:09 +0000 2018,9.65e+17,1121273534.0,0.0,neu,0.0,19.1334321,72.8882172
88,88,Sure if that makes you feel better Let s see who has the last laugh BTW that blue stuff is bad for the pipes Like it will be for the,0,"[80.1851996, 13.0417174]",Egmore Nungambakkam,recent,0,exinkygal,Sun Feb 18 17:15:54 +0000 2018,9.65e+17,15826270.0,0.1,pos,0.387037037037,28.48895715,77.0107837847
89,89,If he read it I am absolutely sure that shallow narcissist s feelings were hurt Nah he ll never resign BlueWave will have to impeach him Either way makes me feel better,0,"[80.1851996, 13.0417174]",Egmore Nungambakkam,recent,0,exinkygal,Sun Feb 18 17:08:08 +0000 2018,9.65e+17,15826270.0,0.222222222222,pos,0.62962962963,19.0308262,73.0198537
90,90,Sir Please arrest scam master Nirav Modi who looted Indian Bank This is humble request from Indian honest tax payer He is most wanted He at NY down town JW Marriott Please help us,0,"[72.430081, 22.797559]",Daskroi,recent,0,dspruthvi,Sun Feb 18 16:48:20 +0000 2018,9.65e+17,1640728746.0,0.116666666667,pos,0.433333333333,19.0308262,73.0198537
91,91,PM EN please arrest Nirav modi who has looted india Bank,0,"[72.430081, 22.797559]",Daskroi,recent,0,dspruthvi,Sun Feb 18 16:29:37 +0000 2018,9.65e+17,1640728746.0,-0.05,neg,0.0,19.0308262,73.0198537
92,92,MyTake The day cinema halls beauty parlours wine shops dot Kashmir as they were pre 1990 Kashmir is back to normal or else it is consumed by hellfire to the demise amp doom of orthodox Islam,0,"[77.20469, 28.620877]",Ghaziabad,recent,3,rameshkhazanchi,Sun Feb 18 16:29:24 +0000 2018,9.65e+17,301412746.0,-0.0166666666667,neg,0.416666666667,9.9692881,76.2811683
93,93,arnab of the US of A https t co P55KlWQCsJ,0,"[74.260409, 15.692325]",Belgaum,recent,0,askammya,Sun Feb 18 16:22:05 +0000 2018,9.65e+17,47952704.0,0.0,neu,0.0,13.0837914,80.2708012462
